Job Title,Unnamed: 1,Key Skills,Role Category,Functional Area,Industry,Role,Min Experience
 Manager (PR),, marketing| project management| PR| project planning,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),5
 Senior Engineer Project,, Leadership training| Software development life cycle| Management,Project Management,"Site Engineering , Project Management","IT-Software, Software Services",Project Manager-IT/Software,2
 PERL Developer,, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer,6
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta",, apache camel| Administration| Technical Support| redhat| Activemq,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert,12
 Wire Industry,, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Branch Manager/Regional Manager,3
 Manager Brand Marketing,, customer segmentation| Brand management| Strategic partnerships| Brand marketing| Consumer insights| Performance appraisal| Operations| Promotional strategies| Marketing strategy| Recruitment,Marketing,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager,4
 Oracle Fusion Apps_manufacturing_any Location,, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant,6
 VP / Sr.vp Fire,, Fire Safety| fire| Senior Management,Safety/Health/Environment,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager,17
 Data Science Engineer,, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,5
Executive - Lab Instruments Maintenance,,Installation|Breakdown Maintenance|Preventive Maintenance,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent ","Other Employment Type: Full Time, Permanent",Pharma / Biotech / Clinical Research,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent",0
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,, dot matrix| printer| printer support| Laserjet| Hardware,Technical Support,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Customer Support Engineer/Technician,1
 When you need a Roof you need a job. Come work with us,, Outbound| Technical Support Associate| Email| Technical| US shift| Medical| Antivirus| Troubleshooting| Technical support| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),3
 Senior Data Analyst,, Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,Analytics & BI,Analytics & Business Intelligence,"KPO, Research, Analytics",Data Analyst,2
" Java / J2EE, Web Services also experienced in AngularJS",, HTML| XML| Ajax| rest| Prototype| technical| developing| JSON| application architecture| SDLC| javascript| jQuery| Web services| java| application| web| design| Web designing| architecture| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Senior US IT Recruiter / Senior US Recruiter,, us it recruiter| us it recruitment| us it staffing| us staffing| us technical recruiter| us recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,1
 Service Engineer - Bhiwadi,, service engineering| maintenance| breakdown| shutdown| amc| installation| repair| troubleshooting| field service engineer| Preventive Maintenance| breakdown maintenance| Field Engineer| Electrical Engineer,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Printing, Packaging",Service/Maintenance Engineer,1
 Sales Manager,, enterprise sales| relationship building| new business| sales strategy| B2B Sales| marketing management| cross selling| product marketing| consultative sales| b2b marketing| service sales| Corporate Sales| Key Accounts Manager,Institutional Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager,4
 Accounts Executive For 1-2 Years Experience,, accounts executive| Accounting| accounts| finance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Accounts Executive/Accountant,1
 Inbound Tour Manager,, inbound| costing| selling| good communication| good communication skills| tickets| tour| experience| manager| packages,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Management Manager/Senior Manager,2
 Swimming Pool Technician,, Monthly Reports| Maintenance| Technician Activities| Water Quality,Site Engineering,"Site Engineering , Project Management",Other,Maintenance Engineer,1
Data Science Manager,,kaggle|NLP|data science|Artificial Intelligence|Natural Language Processing|analytical techniques|Text Mining|big data|machine learning|Deep Learning," ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent ","Other Employment Type: Full Time, Permanent",Strategy / Management Consulting Firms,"ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other",0
 Associate Vice President - Talent Acquisition - Campus Hiring Program,, Talent Acquisition| Recruitment| HR| Campus Hiring| recruitment| recruiting,Senior Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-Recruitment,12
 Governance & Performance-Performance Management-Professors,, Counselor| Mentor| Trainer| Advisor| Teaching,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,7
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",, project sales| Architects| Sales Operations| Sales Management| distributor| interior designers| Area Management| contractors| Area| Developers| consultants| dealer| territory management| Sales Manager,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,6
 Operations - SME / Retail,, Retail| marketing executive| distributors| customer profiling| sales strategy| SME| market research| Business Development| Operations| sales executive,Senior Management,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,12
 Assistant Manager - HR Operations,,vide,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,4
 Sr. Sales / Sales Executive,, Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive,Retail Sales,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Sales Executive/Officer,2
 Senior Business Analyst - Sql/python,, data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst,System Design/Implementation/ERP/CRM,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Business Analyst,3
" .NET Developer (asp.net, MVC, C#)",, C#| CSS| XML| Asp Net| Javascript| Web Application| MS SQL Server| .Net| MVC| ASP.Net MVC| JQuery| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Head- Land Management.,, land acquisition,Drug Regulatory Affairs/Documentation,"Legal , Regulatory , Intellectual Property","Real Estate, Property",Head/VP/GM-Regulatory Affairs,20
 Sr. Business Analyst,, Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Business Analyst,2
 CNC Machine Operator,, cnc| cnc operator| cnc maintenance| cnc programming,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Factory Head,2
 Executive,, Medical Representative| Senior Executive,Architectural Services,"Architecture , Interior Design","Pharma, Biotech, Clinical Research",Architect,5
 Presales Manager - Networking,, Sales Engineer| solution architect| Presales| solution consultant| Technology Consultant,,Other,IT-Hardware & Networking,Other,3
 Inside Sales Executive,, Inside Sales| Lead Generation| Cold Calling| New Business| Customer Service| Proposal Writing| Follow Ups| Sales Executive Activities| Communication Skills| Convincing Power,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,3
 Customer Care Executive,, Customer Care| Inbound Process| Night Shift| Customer Care Executive| Customer Care Officer| BPO| Domestic BPO| International BPO,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,0
 HR - Talent scout specialist,, Performance management| Analytical| Design development| Conceptualization| HR| Continuous improvement| Sales support| Recruitment| Testing,Senior Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Head/VP/GM-HR,2
 Sr. Sales Manager,, Service delivery| Bfsi| enterprise mobility| Market intelligence| Tools| Application development| Sales process| microsoft| Middleware| Business Executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,8
 Laundry Executive,, laundry,Housekeeping,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Housekeeping Executive/Assistant.,1
 Accounts executive,, TDS| Financial statements| Invoice processing| business opportunity| Interpersonal skills| Tally ERP| Accounting| Analytical| Accounts receivable| Recruitment,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,2
 MBA HR - Experience,, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,5
 System Analyst,, T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst,2
 Account Assistance,, Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant,2
 Senior Embedded Engineer,, gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead,3
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai,, Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Technical Support Engineer,4
 Java Developer,, Java| Spring Boot| Web Services| Microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4
 Sr. Software Engineer Android/Hybrid,, SQL| Android| jQuery| UML| Coding| Graphics| JSON| Test cases| System testing| SQLite,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Software Developer,3
 Principal Engineer-Piping,, HVAC| Architecture| Project management| CAD| thermal| Conceptualization| Instrumentation| Autodesk| Food processing| Project delivery,Engineering Design,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead/Project Lead,15
 Business Analyst - Structured Finance,, electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst,1
Solution Architecting,,Product management|Analytical skills|software architecture|Prototype|Business analysis|Manager Technology|Outsourcing|Resource management|Operations|Solution architecting,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Technical Architect,0
 Sales / Business Development,, Sales Head| Hospitality| Office automation| Residential sales| Sales strategy| Bfsi| management| Real estate sales| Flex| Executive search,Senior Management,"Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales,15
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)",, biotechnology| microbiology| nursing| biomedical| medical coding| medical coder| pharmacy| life sciences,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern,0
 Consultant,, Com| Application support| Email| SAP IS-Utilities| level| Billing| change| Service| CRM| Entry level,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Outside Technical Consultant,12
 Network & Security Architect- Pune,, Network,,Other,"IT-Software, Software Services",Other,8
 Business Development Manager,, ERP| RF| Action plan| Relationship| Software sales| Business planning| B2B Sales| RFQ| RFP| CRM,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,1
 Assistant Vice President - Stock Broking - Delhi,, Equity| Currency| Mutual Funds| Commodities| Stock Broking| New Client Acquisition| Business Generation| Channel Distribution| Team Management| team handling| sales,Senior Management,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales,3
,,Java|Trainer|Java|trainer|Trainer|java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|JAVA|TRAINER|Java|Trainer|Java|Trainer|Java|Trainer|trainer|Trainer|Trainer|Java|Trainer|Java|Trainer|Trainer|Java|Java|Trainer|Java|Trainer|Java|Trainer|JAVA|TRAINER|Java|Trainer|Java|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Trainer|Java|Java|Java|trainer|Java|Java|Java|Trainer|JAVA|Java|Java|Trainer|Java,,,,,0
 Production Manager in Press Shop & Projection Welding,, Production Management| Weld Shop| Press Shop| pressing| sheetmetal,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Production Manager,10
 salesfoce Developer +3Years / Mumbai,, Salesforce Developer| sfdc developer| Salesforce,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Social Media Executive,, website| facebook| online| Twitter| seo| internet| search engine optimisation,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Social Media Marketing Manager,0
 Business Advisor,,vide,Institutional Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales Executive/Officer,0
" IT Recruiter, Technical Recruiter",, head hunting| talent acquisition| Recruitment Executive| it recruitment| screening| technical recruitment| hiring| recruitment consultant| recruitment| sourcing| excel powerpoint| staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive,0
 SAP PLM Consultant - SAP MM Module,, SAP PLM| SAP MM| SAP EHS,Other,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Consultant,10
 Python Manager - IIT/ IIM/ DSE/ ISI,, Microstrategy| Business Intelligence| Cognos| Business Objects| Tableau| AWS| Python| SQL,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Networking-Manager,3
 Marketing Manager - Activation - Iit/nit,, Marketing| Event Management| Brand Management,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager,2
 Hiring .Net Developers for Hyderabad Location,, asp.net| ado.net| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Senior BI Cognos Developer,, SQL| Oracle| Cognos| Business intelligence| Automotive| Supply chain| DBMSTools| metadata,Programming & Design,"IT Software - DBA , Datawarehousing","Recruitment, Staffing",Software Developer,7
 Technical Support Engineer,, Technical support| SAN| Veritas| Data management| NetBackup| Windows OS| WebEx| Unix operating system| TCP/IP| IT infrastructure,Admin/Maintenance/Security/Datawarehousing,IT Software - Other,"IT-Software, Software Services",Technical Support Engineer,2
 Senior Drupal Developer,, Drupal| Linux| MySQL| Python| Consulting| Procurement| Monitoring| Front end| Backend| Django,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5
 Pre Sales Executive,, Presales| Real Estate Sales| Residential Sales| Sales Executive Activities,Pre Sales,"Sales , Retail , Business Development","Real Estate, Property",Pre Sales Consultant,2
 Head - Sales &amp; Strategy (telematics),, b2b sales| team management| kam| commercial vehicle| sales strategy| enterprises sales,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce",Head/VP/GM/National Manager -Sales,7
 Content Writer Required for a Monthly Magazine,, Editing| proof reading| content writer| editor| Articles| Article Writing| Content Editor| Journalism| Mass Communication| Copywriter| Associate Editor| Sub Editor| English Writing| Research| Social Media,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,1
 Sales Engineers,, set| eee| interpersonal skills| selling| sales marketing| travel| marketing management| hardware,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,1
 Senior Laravel Developer,, MySQL| Wordpress| Javascript| Flex| CMS| PHP| HTML| JSON| Joomla| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k",, MBBS| B.sc| Biotech| Dermatology| Rheumatology| ENT| BDS| Medicine| Pathology| Immunology| Medical Transcription| Radiology| Genetics| BAMS| MDS,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,0
 Hub-Incharge Bangalore,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Logistics,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Logistics Manager,2
" QA - Associate , - Business - Operations - DM",, QA| Data management| GDB| Fixed income| Data quality| HTTP| Operations| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer,3
 Staff Nurse,, Nursing| NICU| Medical | patient care| Nurse,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Nurse,2
 Back Office Executive|data Entry Operators|domestic BPO,, back office processing| BPO| part time| data entry| computer operator| backend| non voice| chat process| account| marketing| inbound process,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher,0
 Sr Equity Advisor - 5 nos,, shares| market research| communication skills,Investment Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Equity Manager,6
 Data Scientist - Sql/nosql,, SQL| NoSQL| R| Python| Scala| Data Visualization| Machine Learning| Data Science| Data Modeling| Algorithm,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst,2
 Hiring For Day Shift Non Voice Sal. Up To 24K,, international bpo| IT Helpdesk| freshers| customer care| international voice| call center| customer support| technical helpdesk| service desk| bpo fresher| uk| us| communication skills,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
,,vide,,,,,0
 React.js Developer,, jQuery| MySQL| Struts| Javascript| Database| JSF,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,1
 Requirement in Private bank for BDE,, Business Development| Sales| Bde| New Business| Business Analyst| Business Development Manager| Business Development Executive| Senior Business Analyst| Sales Manager| Banker| Private Banker| Sales Officer,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant,0
 Physics- TGT,, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher,2
 Technical Sales Executive -mumbai,, sales engineer| Technical Sales| Sales Executive Activities,,Other,"Construction, Engineering, Cement, Metals",Other,2
 Urgent Opening - Hp-ux Administrator,, Unix,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Administrator,3
 Support Executive,, Interpersonal skills| Direct marketing| IT hardware| Management| Support Executive,Sales Support,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer,1
 J. Stores - Manager,, Analytical skills| Technical| Educational qualification| Stores| Management| Forecasting| Electricals| Inventory| Cables| Organization skills,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure",Training Manager,2
 Product Manager,, product management| product pricing| sales| market research| user experience| marketting| asm| tsm| sales manager,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager,5
,,vide,,,,,0
 Draughtsman,, AutoCAD| Costing| Draughtsman| Civil| 3D,Architectural Services,"Architecture , Interior Design","Recruitment, Staffing",Draughtsman,5
 Senior Java Tech Lead - Spring Boot/ Data Structure,, Java| SOA| TDD| SaaS| J2EE| Spring Boot| API| Algorithm| Data Structure,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,5
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,, Mba Finance| Auditing| Internal Audit| SOX| Audit Compliance| Compliance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant,2
 ETL Datastage Developer,, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,10
 Technical Lead,, CSS| Html5| MySQL| Javascript| Bootstrap| JSON| Node.Js| JQuery| Core PHP| Ajax,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Team Lead/Technical Lead,6
